Наименование;Артикул;Бренд;Модель;Тип;Технология экрана;Материал корпуса;Материал браслета;Размер;Сайт производителя;Наличие;Цена;Старая цена;Ссылка на карточку с товаром
Умные часы FIT TIA-B09 DISTILLED BLUE HUAWEI;80598422;"
";Бренд: Huawei;"
";Модель: Fit TIA-B09;"
";Тип: умные часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: пластик, металл;"
";Материал браслета: силикон;"
";Размеры: 46 х 30 х 10.7 мм;"
";Сайт производителя: www.huawei.ru;"
";21;9040;9130;watch/1/1_21.html
Умные часы FIT TIA-B09 SAKURA PINK HUAWEI;80598424;"
";Бренд: Huawei;"
";Модель: Fit TIA-B09;"
";Тип: умные часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: пластик, металл;"
";Материал браслета: силикон;"
";Размеры: 46 х 30 х 10.7 мм;"
";Сайт производителя: www.huawei.ru;"
";20;9040;9130;watch/1/1_22.html
Часы Medisana Шагомер ViFit Connect;8705336;"
";Бренд: Medisana;"
";Модель: ViFit Connect;"
";Тип: датчик;"
";Технология экрана: OLED;"
";Материал корпуса: пластик;"
";Материал браслета: силикон;"
";Размеры: 46 x 23 x 10 мм;"
";Сайт производителя: www.medisana-msk.ru;"
";55;4580;4630;watch/1/1_23.html
Canyon - CNS-SW82BB;8025293634;"
";Бренд: Canyon;"
";Модель: CNS-SW82BB;"
";Тип: Смарт-часы;"
";Технология экрана: TFT;"
";Материал корпуса: пластик, металл;"
";Материал браслета: полиуретан;"
";Размеры: 46 х 30 х 10.7 мм;"
";Сайт производителя: www.medisana-msk.ru;"
";20;4840;4890;watch/1/1_24.html
Умные часы FLY BLACK G-SM16BLK GEOZON;80590694;"
";Бренд: Geozon;"
";Модель: G-SM16BLK;"
";Тип: Смарт-часы;"
";Технология экрана: TFT;"
";Материал корпуса: металл;"
";Материал браслета: силикон;"
";Размеры: 44 х 50 х 10 мм;"
";Сайт производителя: www.geozon.ru;"
";29;3880;3920;watch/1/1_25.html
Canyon - CNS-SW81BG;80468640;"
";Бренд: Canyon;"
";Модель: CNS-SW81BG;"
";Тип: Смарт-часы;"
";Технология экрана: TFT;"
";Материал корпуса: пластик, металл;"
";Материал браслета: силикон, полиуретан;"
";Размеры: 262x43.6x12.5 мм;"
";Сайт производителя: www.geozon.ru;"
";60;4510;4560;watch/1/1_26.html
Умные часы MAGIC 2 BLACK 46MM MNS-B39 HONOR;80612714;"
";Бренд: Honor;"
";Модель: MNS-B39;"
";Тип: умные часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: пластик, металл;"
";Материал браслета: силикон, полиуретан;"
";Размеры: 45.9 х 45.9 х 10.7;"
";Сайт производителя: www.honor.ru;"
";41;11480;11600;watch/1/1_27.html
Фитнес-браслет BAND FIT PLUS RED G-SM14RED GEOZON;80578938;"
";Бренд: Geozon;"
";Модель: G-SM14RED;"
";Тип: фитнес браслет;"
";Технология экрана: TFT;"
";Материал корпуса: пластик;"
";Материал браслета: силикон;"
";Размеры: 45.9 х 45.9 х 10.7;"
";Сайт производителя: www.geozon.ru;"
";26;3790;3830;watch/1/1_28.html
Фитнес-браслет Mi Smart Band 6;80574754;"
";Бренд: Xiaomi;"
";Модель: G-SM14RED;"
";Тип: фитнес браслет;"
";Технология экрана: AMOLED;"
";Материал корпуса: пластик;"
";Материал браслета: полиуретан;"
";Размеры: 47.4x18.6x12.7 мм;"
";Сайт производителя: www.mi.com;"
";26;4700;5700;watch/1/1_29.html
"Смарт-часы Jet Kid Pinkie Pie 40мм 1.44"" TFT розовый";80350904;"
";Бренд: Jet;"
";Модель: Kid Pinkie Pie 40мм;"
";Тип: Смарт-часы;"
";Технология экрана: TFT;"
";Материал корпуса: пластик;"
";Материал браслета: силикон;"
";Размеры: 40 х 46 х 16 мм;"
";Сайт производителя: www.jetdevice.com;"
";7;5140;5190;watch/1/1_30.html
"Смарт-часы Jet Sport SW-4C 1.54"" IPS серебристый (SW-4C SILVER)";80397648;"
";Бренд: Jet;"
";Модель: SW-4C;"
";Тип: Смарт-часы;"
";Технология экрана: TFT;"
";Материал корпуса: металл;"
";Материал браслета: силикон;"
";Размеры: 40 х 46 х 16 мм;"
";Сайт производителя: www.jetdevice.com;"
";17;4600;4640;watch/1/1_31.html
"Смарт-часы Jet Kid Optimus Prime 45мм 1.44"" TFT синий/красный";80350906;"
";Бренд: Jet;"
";Модель: Kid Optimus Prime 45мм;"
";Тип: Смарт-часы;"
";Технология экрана: TFT;"
";Материал корпуса: металл;"
";Материал браслета: силикон;"
";Размеры: 45 х 50 х 16 мм;"
";Сайт производителя: www.jetdevice.com;"
";12;6050;6110;watch/1/1_32.html
